geneNames	transcriptNames	id	fc	pval	qval
.	gene-PA3992	4091	98.8609139533786	0.000303231532756243	0.94718850565477
.	gene-PA4804	4958	0.000356369580216419	0.000666143187617596	0.94718850565477
.	gene-PA2690	2745	0.057833896128646	0.00141926184752605	0.94718850565477
tpm	gene-PA2832	2896	1786.56951930207	0.00234148344068674	0.94718850565477
.	gene-PA0365	370	3.96465174124182e-07	0.00239062008417101	0.94718850565477
pelF	gene-PA3059	3129	0.00168742487497282	0.00258384573000325	0.94718850565477
.	gene-PA5428	5596	71620.905791821	0.00266375664106433	0.94718850565477
cysT	gene-PA0282	286	0.00240542433452701	0.00273602706976639	0.94718850565477
.	gene-PA0553	560	0.0124463469031629	0.00313490437037978	0.94718850565477
clpP	gene-PA1801	1845	17.4398122116437	0.00315480301982196	0.94718850565477
.	gene-PA4341	4458	2.67662704772378e-09	0.00384197027106192	0.94718850565477
.	gene-PA3886	3983	6.40432382767054	0.00396906591701973	0.94718850565477
.	gene-PA0364	369	8.04689517129361e-06	0.00424030829158228	0.94718850565477
pscG	gene-PA1720	1757	540294.021712008	0.00433095605790335	0.94718850565477
.	gene-PA2841	2905	14.1744501276391	0.00449274279357259	0.94718850565477
.	gene-PA3762	3858	2636.6914405347	0.00469770305356509	0.94718850565477
.	gene-PA0906	928	46.0040729587366	0.00512693086326177	0.94718850565477
.	gene-PA1570	1605	43.8066138663837	0.00519009496825595	0.94718850565477
.	gene-PA1814	1859	47.6810221783807	0.00536585236109421	0.94718850565477
prpD	gene-PA0792	807	4.76571710104133e-18	0.00560603785119362	0.94718850565477
.	gene-PA1991	2036	8.02213885014051e-05	0.00595245208257533	0.94718850565477
.	gene-PA3411	3496	3.1820981014343e-09	0.00616489406144272	0.94718850565477
pvdJ	gene-PA2400	2454	309.175090964328	0.00629132795929133	0.94718850565477
oxyR	gene-PA5344	5507	11.2779659139621	0.0063271460162051	0.94718850565477
.	gene-PA2381	2430	557669.803143445	0.00641904492074108	0.94718850565477
nrdR	gene-PA4057	4157	6.43205023846299	0.00668102353558786	0.94718850565477
dctA	gene-PA1183	1211	56781823625683.4	0.00687113469738487	0.94718850565477
.	gene-PA5083	5240	0.00132762963348667	0.00692173001099528	0.94718850565477
.	gene-PA0542	549	378538.22032317	0.00708951615824982	0.94718850565477
arsB	gene-PA2278	2325	0.000297179159784482	0.0078646859200151	0.94718850565477
pilO	gene-PA5042	5199	89208.2192649229	0.00804505094085073	0.94718850565477
pilD	gene-PA4528	4650	2452.30224238686	0.00821826901165568	0.94718850565477
.	MSTRG.3383.1	4133	0.00365418308187165	0.00838556920020506	0.94718850565477
ccoP2	gene-PA1555	1591	10902490228.0159	0.00873050678311227	0.94718850565477
.	gene-PA4677	4813	0.027766291923263	0.0087384734726681	0.94718850565477
aphA	gene-PA1409	1439	0.000227335297601804	0.00922497030031666	0.94718850565477
.	gene-PA0696	708	3.26137090050346	0.00929852162846756	0.94718850565477
.	gene-PA2654	2710	2.61048437889451	0.00938150010008831	0.94718850565477
cupB4	gene-PA4083	4181	0.00697464442041526	0.00967215639745045	0.94718850565477
.	gene-PA4381	4499	4990550791.48733	0.00997282034726032	0.94718850565477
.	gene-PA4095	4193	0.000143755741392861	0.010132648354759	0.94718850565477
.	gene-PA3089a	3161	311916.816308125	0.0102808253868285	0.94718850565477
cyaA	gene-PA5272	5434	3.23129568827371	0.0102923183768591	0.94718850565477
.	gene-PA4187	4287	4.6094871949957e-05	0.0111897892854783	0.94718850565477
.	gene-PA4659	4793	0.00276015474262569	0.0113713589873168	0.94718850565477
cobU	gene-PA1279	1308	310.426964321954	0.0120982710571649	0.94718850565477
.	rna-PA4690.2	4831	6.63964029768132e-05	0.0123166591915008	0.94718850565477
soj	gene-PA5563	5730	48.0771269022738	0.0125383142808333	0.94718850565477
.	gene-PA3884	3981	6.25571804710281e-05	0.0126300251907161	0.94718850565477
.	gene-PA1297	1326	387.510664385649	0.0131866849375403	0.94718850565477
pgl	gene-PA3182	3260	3.81616395283896e-05	0.0136922047206663	0.94718850565477
fur	gene-PA4764	4917	56.705666467361	0.0137864321628386	0.94718850565477
.	gene-PA5460	5629	1558.60673251561	0.014542095589916	0.94718850565477
.	gene-PA2267	2314	1094.3143123827	0.0150664932596334	0.94718850565477
.	gene-PA5021	5178	180.280005742674	0.0152583571562068	0.94718850565477
.	gene-PA3305	3386	3.33452613274023e-05	0.0154270169852966	0.94718850565477
.	gene-PA0604	612	7.59854166171195e-06	0.0154372436503202	0.94718850565477
.	gene-PA5492	5660	0.0342444246648167	0.015585619057956	0.94718850565477
.	gene-PA1813	1858	1.75719102364422	0.0165421984314376	0.94718850565477
.	gene-PA2986	3054	399.709578977686	0.0166361215936643	0.94718850565477
acpP	gene-PA2966	3033	13.3313643351127	0.0166565957926488	0.94718850565477
.	gene-PA1414	1444	4959810.937956	0.0174453814285471	0.94718850565477
.	gene-PA4349	4466	6763.83550975909	0.0176357130290445	0.94718850565477
.	gene-PA1190	1218	3.66780260475738e-11	0.01772321428636	0.94718850565477
.	gene-PA0121	125	5.10595592286264e-05	0.0177342042963007	0.94718850565477
.	gene-PA4019	4118	2.82362969921137	0.0178699609329905	0.94718850565477
.	gene-PA4476	4597	0.0635300584595418	0.0182421340600276	0.94718850565477
.	gene-PA1050	1075	1251433.82925553	0.0182484018739864	0.94718850565477
.	MSTRG.2869.5	3523	32.1911733399069	0.0187685273948585	0.94718850565477
oprG	gene-PA4067	4165	676617653618.377	0.0187874453202879	0.94718850565477
.	gene-PA3190	3268	4.83379021764709e-07	0.019326552648348	0.94718850565477
.	gene-PA2878	2943	0.00025851924362833	0.0194204300524481	0.94718850565477
.	gene-PA2705	2760	0.0249106993619491	0.0198557861486945	0.94718850565477
.	MSTRG.1689.1	2044	1.72700623628437e-06	0.0200289280665652	0.94718850565477
nalD	gene-PA3574	3666	1.19103457739706e-05	0.0200412032060542	0.94718850565477
.	gene-PA4391	4509	23.1329339465822	0.0204334885475559	0.94718850565477
.	gene-PA1388	1418	0.10989973061237	0.0211292281663895	0.94718850565477
serA	gene-PA0316	321	7.91405139026507	0.0211701045213728	0.94718850565477
.	gene-PA1764	1801	0.0175068109538147	0.0211911100850384	0.94718850565477
pbpC	gene-PA2272	2319	284.640645545539	0.0214288060074321	0.94718850565477
ubiG	gene-PA3171	3249	443.291937763022	0.0217371465724058	0.94718850565477
.	gene-PA0041a	43	7.93132897422899	0.0217720346742802	0.94718850565477
.	gene-PA1645	1682	1.60993982921157	0.0219657988397058	0.94718850565477
hflK	gene-PA4942	5097	7.40488660905911e-21	0.0226654783326745	0.94718850565477
.	gene-PA3278	3357	355655340056.556	0.0228188030512251	0.94718850565477
.	gene-PA5474	5643	3816090.28777058	0.0231405374983105	0.94718850565477
pscH	gene-PA1721	1758	71643.3986958004	0.0231634948165355	0.94718850565477
.	gene-PA4185	4285	5.22149432348655	0.0234308899923241	0.94718850565477
.	gene-PA4434	4554	2804.67939624691	0.0236249490388611	0.94718850565477
lpdV	gene-PA2250	2297	3.66157832173503e-12	0.0239449456600613	0.94718850565477
.	rna-PA4280.5	4392	0.00177813215650549	0.024350668380732	0.94718850565477
phnC	gene-PA3384	3468	0.0419209481286032	0.0248665541360559	0.94718850565477
.	gene-PA2142	2187	41770723.024626	0.0249199043914712	0.94718850565477
.	gene-PA1024	1049	0.00987763625537849	0.0257503584342726	0.94718850565477
phzM	gene-PA4209	4309	4.71508646081931e-05	0.0262219449935461	0.94718850565477
chpD	gene-PA0416	421	0.0448539955681425	0.0265189840576709	0.94718850565477
.	gene-PA5079	5236	24.3954469744496	0.0266838399862037	0.94718850565477
estA	gene-PA5112	5268	5.75453097781429e-06	0.0271531627765031	0.94718850565477
.	gene-PA2292	2341	2569673.29788487	0.0276675344114672	0.94718850565477
pqqC	gene-PA1987	2032	2.56493100368253e-05	0.0276812625676144	0.94718850565477
.	gene-PA3631	3726	1894.44980563879	0.0276970874216211	0.94718850565477
.	gene-PA4150	4250	700815.55767672	0.0277739703055193	0.94718850565477
phrS	rna-PA3305.1	3387	112755644.196774	0.0280506685499466	0.94718850565477
creD	gene-PA0465	471	0.00086932922470477	0.0282548515688559	0.94718850565477
sucA	gene-PA1585	1621	39.4875674893103	0.0283718478458854	0.94718850565477
bkdB	gene-PA2249	2296	4.57309844479651e-11	0.0284703603308134	0.94718850565477
.	gene-PA3290	3369	0.011338006637834	0.0288145874863797	0.94718850565477
pvdP	gene-PA2392	2441	1362540.84385234	0.0289626142137238	0.94718850565477
.	rna-PA4280.2	4389	3.50637670903515e-05	0.0289806682999439	0.94718850565477
.	gene-PA3913	4011	34474503525.674	0.029712403512668	0.94718850565477
.	gene-PA5250	5411	2.62660744858628	0.0297627797870186	0.94718850565477
.	gene-PA0478	484	1142.22542129264	0.0297635514107149	0.94718850565477
panE	gene-PA4397	4515	0.00370119372649802	0.029927185242275	0.94718850565477
.	gene-PA4440	4560	1264.79652253739	0.0299391624855317	0.94718850565477
.	gene-PA0987	1011	1.88378096271222	0.0300563537997725	0.94718850565477
.	gene-PA0776	790	0.000207211175254226	0.0300719442476602	0.94718850565477
.	gene-PA2375	2424	3.95949481258141e-07	0.0305473781637291	0.94718850565477
.	gene-PA2788	2850	30.6407588251825	0.0309067450526574	0.94718850565477
pykF	gene-PA1498	1530	0.000178982739965163	0.0310577061089513	0.94718850565477
pgi	gene-PA4732	4882	20.4391983947104	0.0313505894403674	0.94718850565477
.	gene-PA2036	2082	1.24742578768527e-05	0.0314234647487053	0.94718850565477
.	gene-PA3188	3266	1.44808734628169e-10	0.0316341866154322	0.94718850565477
.	gene-PA0545	552	829717656.259261	0.0321897681400093	0.94718850565477
fabB	gene-PA1609	1645	1145.26917434104	0.032336029247606	0.94718850565477
.	gene-PA1459	1490	54.6702652673175	0.0327282429354088	0.94718850565477
flp	gene-PA4306	4421	0.000617673218079357	0.0327561011942141	0.94718850565477
ftsL	gene-PA4419	4538	2.36086033799614	0.0329201551156464	0.94718850565477
.	gene-PA0203	207	14263.0219712722	0.0329668292423101	0.94718850565477
.	gene-PA3256	3333	361.490852405511	0.0337021996319871	0.94718850565477
.	gene-PA0543	550	0.0126040142281538	0.0340949082749891	0.94718850565477
.	gene-PA0368	374	0.0031226630520938	0.0342430180886658	0.94718850565477
.	gene-PA1542	1575	0.000939548178700014	0.0346438535934901	0.94718850565477
.	gene-PA2596	2651	5.56851807391492e-07	0.0348101467641593	0.94718850565477
.	rna-PA1112.1	1140	16.3350593899915	0.0350111460448198	0.94718850565477
pscK	gene-PA1724	1761	2511418.49336887	0.0351104665138148	0.94718850565477
.	gene-PA2321	2371	0.000226308671596245	0.0353774221293769	0.94718850565477
opdP	gene-PA4501	4622	4.42066027685983e-13	0.0356265506694176	0.94718850565477
fha1	gene-PA0081	84	2075.2523618661	0.0359711731946898	0.94718850565477
.	gene-PA2606	2662	4.25566798089073	0.0360449107355272	0.94718850565477
hcnA	gene-PA2193	2239	853174541.421751	0.0361732555780926	0.94718850565477
mdcD	gene-PA0211	215	1.26039876139869e-06	0.0363382895968676	0.94718850565477
.	gene-PA1647	1684	128.393364231984	0.0365680152100081	0.94718850565477
.	gene-PA0557	564	0.000155791623020781	0.036605990333541	0.94718850565477
.	gene-PA5246	5407	262.032406708555	0.0366545942560563	0.94718850565477
pslA	gene-PA2231	2279	0.00945109899324261	0.0369548334036816	0.94718850565477
.	gene-PA2097	2142	5.14605624373477e-05	0.0370120338234956	0.94718850565477
.	gene-PA4374	4492	486.635396781487	0.0372547961031714	0.94718850565477
.	gene-PA5122	5278	178.833181141071	0.0373684483496485	0.94718850565477
.	gene-PA2297	2346	1.18468828975351e-10	0.0377049531100335	0.94718850565477
cupC1	gene-PA0992	1015	0.0329149673592632	0.0382671353172415	0.94718850565477
.	gene-PA0976	1000	0.00196976560740801	0.0383084603691456	0.94718850565477
.	gene-PA2050	2095	341.500640800348	0.0383648117048918	0.94718850565477
.	gene-PA2225	2273	0.0026346008463613	0.0387843230417227	0.94718850565477
nosD	gene-PA3393	3477	21714.7808792797	0.0395003699022973	0.94718850565477
femA	gene-PA1910	1957	61.4867988451806	0.0396408984582162	0.94718850565477
.	gene-PA1741	1778	37176.8690719084	0.0398114295324505	0.94718850565477
.	gene-PA2223	2271	0.00016054522140949	0.039841190208165	0.94718850565477
.	gene-PA3338	3420	2842.99049170052	0.040095013932108	0.94718850565477
.	gene-PA5507	5675	1181787.19929485	0.0402046880975039	0.94718850565477
cdhR	gene-PA5389	5557	0.0188434734729384	0.0403302231699147	0.94718850565477
.	gene-PA0709	722	24.5837294967927	0.0403628725111222	0.94718850565477
corA	gene-PA5268	5430	370.718771244785	0.0405665517732497	0.94718850565477
.	gene-PA3748	3844	99.6717272412927	0.0407218238451166	0.94718850565477
.	gene-PA0809	824	16636.4402297952	0.0407432563291461	0.94718850565477
creB	gene-PA0463	469	2479.46083851407	0.041046885224625	0.94718850565477
.	gene-PA0719	732	0.00917564133586584	0.0412593047398263	0.94718850565477
hitA	gene-PA4687	4825	3.16743463088382e-06	0.0413650199877238	0.94718850565477
.	gene-PA3237	3314	0.109492161112344	0.0416121826203596	0.94718850565477
.	gene-PA2327	2377	5.26131894110731e-06	0.0420360910089927	0.94718850565477
.	gene-PA4838	4992	19790.6856265223	0.0423383578169487	0.94718850565477
braC	gene-PA1074	1100	1.47740253613941e-05	0.0423693893527437	0.94718850565477
.	gene-PA2284	2331	11987.9248151883	0.0424281275168912	0.94718850565477
.	gene-PA2523	2574	284.531443484215	0.0426500241597527	0.94718850565477
.	gene-PA3044	3113	0.0419589837931923	0.0436052509755138	0.94718850565477
.	gene-PA3311	3393	0.000281094355659653	0.0436364706248856	0.94718850565477
pvcA	gene-PA2254	2301	391.412014833972	0.0436747751328139	0.94718850565477
.	rna-PA5369.2	5534	4.96463799581479e-05	0.0439796597571597	0.94718850565477
.	gene-PA2662	2718	7861157.9876509	0.0439834153689824	0.94718850565477
.	gene-PA3302	3381	13443211654320432	0.0441335213129003	0.94718850565477
pilN	gene-PA5043	5200	186208.241326687	0.0442691198671402	0.94718850565477
.	gene-PA4791	4944	941.244450053432	0.0449371505607108	0.94718850565477
.	gene-PA2775	2836	5.43313900031888	0.0452324855063673	0.94718850565477
pcaB	gene-PA0230	234	17.2186133531529	0.0452800042344892	0.94718850565477
phhA	gene-PA0872	889	1522.54697459897	0.0456708880159367	0.94718850565477
aspA	gene-PA5429	5597	1282940.07998317	0.0457532723297264	0.94718850565477
.	gene-PA0952	976	55089831.9831949	0.0458181006113787	0.94718850565477
.	gene-PA2683	2738	0.00131819845049654	0.0459072431063843	0.94718850565477
